sales,product,quantity,total_price,no_of_items_sold,profits,loss,profits_status,loss_status,sales_date,customer_id,product_id,customer_country,customer_postal_code,category,transaction_id,payment_method
61,Pesto Pasta Salad,744,6431.98,593,4660.03,2353.86,profitable,high,7/23/2021,61,61,Russia,141707,electronics,61,cash
62,Travel Shoe Bags Set,653,3314.02,114,1375.46,-2754.42,profitable,high,6/21/2021,62,62,Finland,15880,clothing,62,online payment
63,Sweet Corn,65,1794.91,966,4800.47,-1017.66,break-even,high,3/13/2021,63,63,China,,electronics,63,online payment
64,Organic Baby Carrots,907,9280.25,406,244.4,-1900.17,break-even,low,8/20/2021,64,64,Russia,427997,groceries,64,credit card
65,Vegan Tacos,171,6011.06,40,4938.85,2668.43,loss-making,medium,2/19/2021,65,65,Guatemala,01057,electronics,65,online payment
66,Nutritional Yeast,862,655.17,766,-781.62,-3370.63,profitable,medium,11/7/2021,66,66,Mauritius,,groceries,66,credit card
67,Mediterranean Chickpea Salad,641,4553.38,465,1453.89,-272.68,profitable,low,1/22/2021,67,67,France,47912 CEDEX 9,groceries,67,credit card
68,Pumpkin Ice Cream,965,8276.78,878,4976.99,-2173.34,loss-making,low,12/18/2021,68,68,Bulgaria,7447,electronics,68,online payment
69,Whole Wheat Bread,521,3016.88,317,560.49,3361.35,break-even,low,11/5/2021,69,69,Indonesia,,groceries,69,credit card
70,Instant Mashed Potatoes,504,6987.13,831,-252.13,-3635.82,break-even,medium,6/1/2021,70,70,China,,groceries,70,cash
71,Savory Italian Herbs,399,7558.25,7,534.63,-2886.49,profitable,low,5/22/2021,71,71,Poland,39-323,clothing,71,credit card
72,Coffee Capsule Dispenser,498,7401.77,41,2885.71,-2346.55,profitable,low,12/22/2021,72,72,China,,electronics,72,cash
73,Coconut Chips,898,8769.24,369,673.34,116.7,break-even,high,6/3/2021,73,73,Indonesia,,groceries,73,cash
74,Weighted Jump Rope with Counter,799,5832.96,843,1911.73,-876.55,break-even,low,1/20/2021,74,74,Philippines,1748,electronics,74,online payment
75,Tailored Blazer,656,9654.23,227,3728.59,-3051.4,loss-making,low,2/18/2021,75,75,Philippines,8717,groceries,75,cash
76,Vegan Taco Seasoning,705,7274.7,595,-156.99,1292.53,profitable,medium,12/29/2021,76,76,China,,groceries,76,online payment
77,Electric Toothbrush Holder,101,3608.98,911,-661.82,2907.04,profitable,high,9/4/2021,77,77,Russia,606232,clothing,77,cash
78,BBQ Jackfruit,59,9196.61,601,4080.12,-2650.56,break-even,low,9/7/2021,78,78,Indonesia,,electronics,78,online payment
79,Chocolate Chip Muffins,409,8252.63,679,2203.38,-2933.1,loss-making,low,3/12/2021,79,79,South Africa,9450,groceries,79,online payment
80,Hand Mixer,315,6787.15,802,-773.04,-2448.68,profitable,medium,5/6/2021,80,80,Portugal,2540-170,groceries,80,online payment
81,Mini Pretzels,511,1109.46,756,542.11,-851.95,profitable,medium,12/17/2021,81,81,China,,clothing,81,cash
82,Eco-Friendly Cleaning Cloths,850,7612.38,350,4826.77,4565.36,break-even,high,9/17/2021,82,82,Russia,648581,electronics,82,credit card
83,Buffalo Wing Sauce,296,3115.38,218,484.29,3214.28,profitable,medium,9/18/2021,83,83,Portugal,2615-221,clothing,83,online payment
84,Peach Slices in Syrup,269,3253.08,451,1366.58,4351.32,profitable,medium,5/25/2021,84,84,Israel,,clothing,84,cash
85,Stick Vacuums Cleaner,13,778.92,836,173.2,4729.57,profitable,high,4/9/2021,85,85,Portugal,4800-198,electronics,85,online payment
86,Whisk Set,826,3689.41,928,23.38,-393.59,profitable,medium,8/10/2021,86,86,Indonesia,,clothing,86,cash
87,Vegan Chickpea Salad,747,7668.8,92,532.07,-2805.07,loss-making,medium,3/8/2021,87,87,Russia,187742,clothing,87,credit card
88,Summer Tank Dress,60,2614.17,158,2093.58,3057.31,break-even,high,7/22/2021,88,88,France,69245 CEDEX 05,clothing,88,cash
89,Kettle Chip Variety Pack,773,1591.89,98,3882.81,4799.65,loss-making,low,6/30/2021,89,89,Indonesia,,groceries,89,online payment
90,Dark Chocolate Almond Butter Cups,358,1864.26,220,1942.93,-1974.81,break-even,low,5/18/2021,90,90,Thailand,46140,electronics,90,online payment
91,Relaxed Fit Henley Shirt,455,8163.36,868,2998.99,-3027.88,loss-making,low,9/22/2021,91,91,China,,groceries,91,credit card
92,Sports Bottle,191,669.95,438,4710.88,-1544.87,profitable,high,5/2/2021,92,92,China,,groceries,92,cash
93,Sliced Provolone Cheese,562,288.64,475,3923.32,-1374.34,profitable,high,9/1/2021,93,93,China,,electronics,93,credit card
94,Almond Joy Munch Bars,629,1416.5,535,3139.32,1879.18,profitable,high,6/8/2021,94,94,France,94852 CEDEX,electronics,94,online payment
95,Reusable Silicone Food Storage Bags,286,8328.07,722,3070.78,-905.3,break-even,medium,9/23/2021,95,95,China,,electronics,95,online payment
96,Outdoor Camping Lantern,119,3128.07,698,2727.71,4293.32,loss-making,medium,10/2/2021,96,96,Colombia,150449,clothing,96,online payment
97,Zesty Cilantro Lime Dressing,23,3382.3,530,1860.73,1551.95,loss-making,medium,7/20/2021,97,97,United States,87201,clothing,97,online payment
98,Almond Milk,750,5368.72,19,1551.68,-2101.45,loss-making,high,10/11/2021,98,98,Portugal,4640-580,clothing,98,cash
99,Caramelized Onion Dip Mix,344,1683.25,697,527.64,3848.87,break-even,medium,11/11/2021,99,99,Mexico,75710,clothing,99,credit card
100,Folding Table,940,6053.85,364,4243.93,-2870.52,profitable,medium,9/6/2021,100,100,China,,groceries,100,online payment
101,Chia Seeds,978,9110.74,614,1227.75,587.99,break-even,low,1/28/2021,101,101,Panama,,clothing,101,cash
102,Honey Roasted Peanuts,469,3571.27,614,-949.48,1747.64,profitable,high,5/19/2021,102,102,France,84147 CEDEX,clothing,102,online payment
103,Potato Wedge Seasoning,387,9480.29,256,-490.37,-3472.79,loss-making,low,10/2/2021,103,103,Kyrgyzstan,,electronics,103,credit card
104,Spinach Pizza Rolls,414,5408.0,442,771.74,-1897.73,profitable,high,6/15/2021,104,104,Poland,23-212,groceries,104,online payment
105,Spinach and Cheese Quiche,302,4884.25,579,2188.58,-968.72,profitable,medium,6/23/2021,105,105,Peru,,clothing,105,cash
106,Essential White Button-Up,474,7006.62,447,314.17,2161.85,loss-making,high,12/10/2021,106,106,Vietnam,,groceries,106,cash
107,Kids' Gardening Kit,679,6077.88,304,-102.99,-581.16,loss-making,high,4/30/2021,107,107,France,59208 CEDEX,clothing,107,credit card
108,Fleece Lined Leggings,655,2375.73,455,3086.12,2194.21,break-even,medium,6/19/2021,108,108,Brazil,37800-000,electronics,108,cash
109,Fitness Activity Journal,540,3870.02,643,512.63,1537.9,break-even,low,11/25/2021,109,109,Mauritius,,clothing,109,cash
110,Sushi Roll Kit,746,209.3,824,-41.09,2522.4,profitable,low,5/9/2021,110,110,China,,clothing,110,online payment
111,Kale Caesar Salad Kit,654,9490.54,228,4168.4,-4400.22,profitable,medium,8/25/2021,111,111,Brazil,35660-000,groceries,111,cash
112,Fashionable Scarves Set,261,5685.13,932,3201.99,656.83,profitable,medium,3/4/2021,112,112,China,,clothing,112,online payment
113,Fleece Throw Blanket,381,1417.74,530,2972.1,2172.37,break-even,low,12/27/2021,113,113,Ukraine,,clothing,113,online payment
114,Stainless Steel Straws,697,9705.85,264,600.29,-4976.34,profitable,medium,5/4/2021,114,114,Germany,51149,electronics,114,credit card
115,Relaxed Fit Henley Shirt,169,9117.71,783,769.95,2190.7,profitable,low,7/28/2021,115,115,Nigeria,,groceries,115,online payment
116,Karaoke Microphone,387,4683.13,409,2706.36,4843.12,break-even,medium,9/4/2021,116,116,Argentina,5875,groceries,116,cash
117,Dishwasher Safe Cutting Board,467,2939.53,994,-559.63,-4628.03,loss-making,low,2/5/2021,117,117,Philippines,3109,clothing,117,credit card
118,Sea Salt Tortilla Chips,57,3095.46,897,790.39,-4927.63,loss-making,medium,1/10/2021,118,118,Indonesia,,groceries,118,credit card
119,Hummus,883,9111.35,319,-991.15,1117.03,profitable,low,11/24/2021,119,119,Bulgaria,3053,electronics,119,online payment
120,Biodegradable Phone Case,823,4636.12,697,-211.92,-3874.77,break-even,high,6/9/2021,120,120,China,,groceries,120,online payment
121,Dried Mango Slices,103,7631.7,509,3309.49,-3803.62,profitable,low,6/5/2021,121,121,Philippines,6088,electronics,121,credit card
122,Wrist Support Brace,589,9374.44,747,1901.73,-2243.03,loss-making,medium,10/20/2021,122,122,Indonesia,,clothing,122,credit card
123,Pressure Washer Accessories Kit,185,6460.49,393,-111.47,1378.7,break-even,low,12/1/2021,123,123,Poland,59-818,clothing,123,credit card
124,USB Desk Fan,260,9359.03,555,-278.59,-3413.79,loss-making,medium,3/15/2021,124,124,Sudan,,electronics,124,credit card
125,Tea Infuser Bottle,412,4667.87,44,580.16,1071.2,profitable,high,12/16/2021,125,125,Poland,36-122,clothing,125,credit card
126,Bluetooth Sleep Headphones,51,3484.24,292,-45.49,-1967.19,profitable,medium,10/30/2021,126,126,Philippines,5411,clothing,126,cash
127,Raspberry Tart,376,4530.86,14,1286.42,1770.83,loss-making,low,5/30/2021,127,127,France,35164 CEDEX,electronics,127,credit card
128,Mini Electric Kettle,760,3438.74,119,4643.75,2774.27,profitable,medium,3/2/2021,128,128,Japan,969-1661,clothing,128,online payment
129,Oven-Baked Sweet Potato Fries,327,9995.02,644,2482.25,-3404.47,break-even,high,1/2/2021,129,129,China,,clothing,129,online payment
130,Creamy Ranch Dressing,228,5944.56,860,488.62,1698.66,break-even,medium,8/28/2021,130,130,Cuba,,groceries,130,credit card
131,Antique Style Clock,916,6470.76,300,4593.77,-4236.64,loss-making,medium,3/27/2021,131,131,Estonia,,electronics,131,online payment
132,Digital Bullet Journal,170,5697.07,842,-300.74,2352.91,break-even,medium,5/11/2021,132,132,Brazil,32450-000,clothing,132,online payment
133,Smart Light Switch,707,6386.07,946,1498.1,-2990.22,loss-making,low,5/2/2021,133,133,Argentina,3384,groceries,133,cash
134,Spiced Pumpkin Soup,989,9707.54,843,697.03,-1409.54,break-even,medium,1/3/2021,134,134,China,,clothing,134,credit card
135,Nutty Quinoa Salad,128,3498.06,643,-49.94,-1702.17,profitable,low,9/2/2021,135,135,Sri Lanka,22200,groceries,135,cash
136,Golf Polo Shirt,686,9289.38,732,1970.85,4658.08,loss-making,medium,7/17/2021,136,136,Ukraine,,groceries,136,credit card
137,Warm Knit Beanie,3,8624.55,25,-855.3,-2566.7,profitable,medium,1/27/2021,137,137,China,,groceries,137,cash
138,Multifunctional Pocket Tool,889,7520.48,571,2646.93,3273.09,profitable,high,12/16/2021,138,138,Philippines,6725,groceries,138,cash
139,Blackberry Compote,815,6736.73,971,1975.89,547.4,break-even,medium,3/1/2021,139,139,Sweden,661 31,electronics,139,credit card
140,Creamy Ranch Dressing,28,2008.3,849,3535.13,2074.85,loss-making,high,9/27/2021,140,140,France,92901 CEDEX,clothing,140,credit card
141,Spinach and Cheese Quiche,362,4901.6,442,1380.79,-29.87,loss-making,medium,8/19/2021,141,141,Poland,44-238,electronics,141,credit card
142,Red Lentil Pasta,109,2767.68,721,776.65,152.29,break-even,low,6/25/2021,142,142,Peru,,clothing,142,cash
143,Garlic and Herb Cream Cheese,307,9109.36,793,-207.99,3070.0,profitable,low,1/29/2021,143,143,Bolivia,,clothing,143,credit card
144,Whisk Set,933,6859.97,207,4308.0,2260.09,break-even,low,4/27/2021,144,144,China,,electronics,144,credit card
145,Luxury Rolling Makeup Case,929,7977.73,182,3113.59,2452.41,loss-making,high,3/31/2021,145,145,Japan,286-0002,electronics,145,credit card
146,Pasta Primavera,817,1227.0,770,2962.81,2211.47,loss-making,medium,3/3/2021,146,146,Ukraine,,electronics,146,cash
147,Spinach and Ricotta Ravioli,961,3363.42,94,-149.23,-3534.55,profitable,low,10/20/2021,147,147,Thailand,17120,groceries,147,cash
148,Home Brewing Starter Kit,705,7454.84,30,3670.07,521.34,profitable,high,8/31/2021,148,148,Angola,,electronics,148,credit card
149,Cheddar Cheese Crackers,84,8141.69,663,-834.53,1276.38,break-even,medium,1/7/2021,149,149,Poland,40-401,groceries,149,cash
150,Coconut Water,296,707.75,877,-296.67,-1120.48,profitable,medium,7/10/2021,150,150,China,,electronics,150,credit card
151,Bock Beer Mustard,289,2419.83,635,3799.64,1147.83,loss-making,high,7/16/2021,151,151,Indonesia,,groceries,151,cash
152,Foldable Picnic Table,968,7568.95,379,817.3,2002.64,loss-making,high,11/17/2021,152,152,Philippines,4201,groceries,152,online payment
153,Pressure Washer Accessories Kit,518,2540.04,424,1691.14,1943.48,loss-making,low,5/20/2021,153,153,Poland,55-093,electronics,153,cash
154,Pomegranate Juice,249,7069.36,542,2776.53,-160.47,break-even,medium,12/13/2021,154,154,Philippines,5516,clothing,154,cash
155,Frozen Broccoli,18,7872.7,40,8.44,4112.8,loss-making,high,2/24/2021,155,155,China,,clothing,155,online payment
156,Honey Wheat Pretzels,75,4712.43,379,4671.23,-4040.28,loss-making,medium,8/8/2021,156,156,China,,electronics,156,online payment
157,Lemon Herb Chicken,911,5610.09,762,1092.78,-1742.5,loss-making,high,1/1/2021,157,157,Macedonia,1440,electronics,157,online payment
158,Smart Light Bulbs,844,8132.82,909,3674.25,2566.1,profitable,medium,8/28/2021,158,158,China,,clothing,158,cash
159,Ice Cream Scoop,326,4263.25,784,2121.38,-2889.58,profitable,high,10/25/2021,159,159,Russia,175320,groceries,159,credit card
160,Salt and Pepper Grinder Set,986,6472.48,164,3380.16,1988.87,break-even,high,4/20/2021,160,160,Ireland,Y34,clothing,160,credit card
161,Kids' Activity Book,286,4261.83,393,1752.11,-3794.52,profitable,low,5/19/2021,161,161,Russia,673377,electronics,161,cash
162,Pear and Gorgonzola Salad,105,6825.71,582,1069.66,-3523.94,break-even,medium,11/29/2021,162,162,Sweden,281 43,groceries,162,cash
163,DIY Lip Balm Kit,3,8239.81,7,-369.41,-1489.69,profitable,high,8/16/2021,163,163,Philippines,6547,clothing,163,cash
164,Vegan Protein Powder,419,668.95,423,-117.06,-4339.75,loss-making,low,10/15/2021,164,164,Philippines,5504,electronics,164,online payment
165,Cream Cheese,315,8535.03,993,-319.51,2240.63,loss-making,medium,10/14/2021,165,165,China,,clothing,165,cash
166,Ginger Turmeric Tea,436,8814.63,505,509.48,1731.89,profitable,high,7/22/2021,166,166,China,,clothing,166,credit card
167,Whole Grain Cereal,280,5742.82,144,617.38,-1166.52,profitable,medium,9/3/2021,167,167,Indonesia,,clothing,167,online payment
168,Smart Wi-Fi Camera,850,1988.9,616,4466.1,3176.21,profitable,medium,2/5/2021,168,168,Russia,357560,electronics,168,credit card
169,Fleece Throw Blanket,318,1276.46,478,2459.21,-3717.46,profitable,medium,8/19/2021,169,169,Philippines,6807,groceries,169,online payment
170,LED Christmas Lights,561,417.31,232,4322.25,-3375.72,profitable,high,7/27/2021,170,170,Colombia,250618,groceries,170,credit card
171,Peanut Butter Filled Pretzels,76,7616.91,153,2064.11,3716.46,loss-making,medium,7/21/2021,171,171,Greece,,electronics,171,online payment
172,Savory Oatmeal,941,5635.64,491,1635.87,208.18,break-even,medium,8/24/2021,172,172,China,,electronics,172,cash
173,Organic Cucumber,174,925.14,239,1193.0,-3748.02,loss-making,high,4/4/2021,173,173,Philippines,4425,clothing,173,online payment
174,Lentils,777,6597.67,659,4400.55,-3957.35,profitable,medium,1/11/2021,174,174,Brazil,13200-000,electronics,174,cash
175,Mini Pretzels,130,7702.54,960,2175.33,2068.64,profitable,high,8/14/2021,175,175,Indonesia,,clothing,175,cash
176,Creamy Ranch Dressing,520,1868.96,782,3191.03,2280.65,loss-making,medium,10/18/2021,176,176,Russia,356020,clothing,176,cash
177,Kids Tablet,586,8452.28,495,2524.05,-2767.89,loss-making,medium,1/11/2021,177,177,Kazakhstan,,electronics,177,credit card
178,Plaid Flannel Shirt,435,9629.38,979,1617.17,1194.19,loss-making,low,2/24/2021,178,178,China,,groceries,178,credit card
179,Pita Bread,21,6697.82,968,-707.79,-3221.17,loss-making,low,11/25/2021,179,179,Comoros,,groceries,179,credit card
180,Lentil Soup,807,3992.24,399,-712.14,4182.93,loss-making,low,4/22/2021,180,180,United States,50393,groceries,180,cash
181,Pasta Primavera Kit,706,5526.81,179,-793.37,4485.13,loss-making,medium,9/25/2021,181,181,Greece,,clothing,181,online payment
182,Cucumber Lime Sparkling Water,56,3765.86,466,-450.82,2460.11,break-even,low,8/13/2021,182,182,South Africa,4492,electronics,182,credit card
183,Bodyweight Resistance Bands,495,2096.64,824,4012.87,2475.29,loss-making,high,2/28/2021,183,183,Indonesia,,groceries,183,credit card
184,Vanilla Bean Greek Yogurt,718,2652.07,956,-932.13,3316.48,loss-making,high,2/17/2021,184,184,China,,groceries,184,credit card
185,Garam Masala Spice Blend,382,3312.97,471,835.38,3229.03,break-even,high,1/12/2021,185,185,Indonesia,,clothing,185,credit card
186,Chili Powder,711,4891.66,988,129.14,3304.79,profitable,high,4/30/2021,186,186,Sri Lanka,43000,electronics,186,cash
187,Chocolate Raspberry Tart,562,5196.48,934,4365.87,-4205.44,break-even,high,3/31/2021,187,187,Honduras,,electronics,187,credit card
188,Apple Cinnamon Oatmeal,485,9040.16,727,190.85,3127.0,loss-making,high,2/13/2021,188,188,Poland,56-300,groceries,188,online payment
189,Stainless Steel Straws,4,3165.63,808,1254.47,1807.09,loss-making,high,7/22/2021,189,189,Philippines,2612,clothing,189,credit card
190,Compact Digital Camera,468,171.88,157,3876.13,206.25,break-even,high,5/16/2021,190,190,Colombia,250437,electronics,190,cash
191,Lentil Soup,23,2454.01,995,-945.71,194.85,profitable,high,8/3/2021,191,191,Philippines,7036,groceries,191,cash
192,Foot Massager,56,8103.21,324,3018.98,4849.04,profitable,high,7/6/2021,192,192,South Africa,2525,clothing,192,credit card
193,Classic BBQ Sauce,260,441.63,506,694.68,370.96,break-even,medium,12/14/2021,193,193,Sweden,504 75,clothing,193,credit card
194,Tandoori Chicken Skewers,70,7918.58,195,807.37,130.35,loss-making,low,4/24/2021,194,194,Brazil,12570-000,groceries,194,credit card
195,Herb Garden Planter Box,408,1499.88,601,-993.54,-4610.95,break-even,high,7/8/2021,195,195,Brazil,89108-000,groceries,195,credit card
196,Almond Joy Snack Bars,454,2532.79,546,404.34,-4205.96,profitable,low,8/10/2021,196,196,Bangladesh,1341,electronics,196,credit card
197,Savory Quinoa Pudding,714,3076.39,531,2732.78,-1557.59,profitable,medium,4/25/2021,197,197,Indonesia,,electronics,197,online payment
198,Skincare Set,295,8012.98,267,3825.42,-191.48,profitable,medium,10/8/2021,198,198,China,,groceries,198,credit card
199,Italian Sausage and Peppers,178,7567.6,155,4661.07,699.41,loss-making,high,5/24/2021,199,199,Venezuela,,clothing,199,online payment
200,Pesto Pasta Sauce,420,660.14,213,2603.18,-49.36,break-even,low,3/18/2021,200,200,France,35538 CEDEX,groceries,200,online payment
201,Halloween Decoration Set,641,2201.09,897,3743.17,2808.42,profitable,medium,8/22/2021,201,201,Thailand,13260,clothing,201,credit card
202,Plant-Based Cookbook,886,9778.97,954,729.27,-4075.33,loss-making,high,8/15/2021,202,202,Brazil,77800-000,groceries,202,cash
203,Apple Pie Filling,660,488.17,487,4173.72,-2471.66,break-even,high,11/25/2021,203,203,Japan,374-0079,electronics,203,cash
204,Coffee Maker,794,5426.89,934,3786.75,-1939.66,break-even,low,4/19/2021,204,204,Japan,527-0087,electronics,204,cash
205,Pocket Blanket,995,5672.44,437,4164.69,-3128.47,profitable,low,12/30/2021,205,205,Russia,142143,groceries,205,cash
206,Apple Juice,852,6503.78,140,4022.66,813.89,profitable,high,8/7/2021,206,206,Brazil,17700-000,clothing,206,credit card
